Title,Author,Year,Source title,Cited by,Document Type,Language,Testo della Ricerca
"Advancements in Quantum Computing","J. Doe",2023,"Journal of Quantum Science",15,"Article","EN","Questo studio esplora gli ultimi progressi nel quantum computing, concentrandosi su qubit e algoritmi quantistici."
"Artificial Intelligence in Healthcare","A. Smith",2022,"Medical AI Review",32,"Review","IT","Un'analisi dell'intelligenza artificiale applicata alla sanità, con particolare attenzione ai benefici e alle implicazioni etiche."
"Climate Change and Marine Biodiversity","B. Johnson",2021,"Environmental Research Letters",47,"Article","IT","Questo studio esamina gli effetti del cambiamento climatico sulla biodiversità marina e le strategie di mitigazione."
"Renewable Energy Storage Technologies","C. Martinez",2023,"Energy Science Journal",22,"Conference Paper","DE","Analisi delle tecnologie più innovative per lo stoccaggio dell'energia rinnovabile e la loro efficienza."
"Neural Networks for Image Recognition","D. Lee",2020,"Computer Vision Journal",58,"Article","EN","Studio sulle reti neurali profonde per il riconoscimento delle immagini, con particolare attenzione alle CNN."
"Impact of Microplastics on Human Health","E. Brown",2021,"Public Health Reports",39,"Review","FR","Discussione sull'impatto dei microplastiche sulla salute umana e sulle possibili strategie di riduzione dell'esposizione."
"Cybersecurity Challenges in IoT","F. Garcia",2023,"Journal of Cybersecurity",18,"Article","ES","Esame delle principali sfide di sicurezza informatica nei dispositivi IoT e delle soluzioni innovative disponibili."
"Advances in CRISPR Gene Editing","G. White",2022,"Genomics & Biotechnology",26,"Article","DE","Analisi delle innovazioni nella tecnologia CRISPR per la modifica genetica e le implicazioni future."
"Blockchain for Secure Data Transactions","H. Kim",2021,"Blockchain Research Journal",41,"Conference Paper","EN","Studio sul ruolo della blockchain nella sicurezza delle transazioni digitali e nelle sue applicazioni pratiche."
"Psychological Effects of Social Media Usage","I. Lopez",2020,"Journal of Psychology",55,"Article","DE","Ricerca sugli effetti psicologici dell'uso dei social media e le possibili implicazioni per la salute mentale."
