Title,Author,Year,Source title,Cited by,Document Type,Language,Testo della Ricerca
"Adaptive learning in computer science education: A scoping review","Barbosa P.L.S.; Carmo R.A.F.D.; Gomes J.P.P.; Viana W.","2024","Education and Information Technologies","4","Article","EN","Adaptive learning is a teaching approach aiming to personalize the learning experience for each student. In Computer Science Education (CSE), Adaptive Learning Systems (ALS) can provide students with customized lessons, exercises, and assessments based on their previous knowledge, strengths, and weaknesses. Some literature reviews focus on adaptive learning techniques, but none specifically analyze the methods used in adaptive systems in CSE. Our overall objective is to identify the computing techniques that are implemented within ALS to provide adaptive computer education in higher education. We conducted a scoping review (SR) based on the Guidelines for performing Systematic Literature Reviews in Software Engineering, defining six research questions and a search string. We performed searches in four databases, retrieving 512 documents. After applying the selection criteria, we selected 29 works. The results present quantitative and qualitative data from those 29 studies. Most research has used adaptive learning in programming education (12 articles) and databases (9 papers). Nine articles used learning styles as the core of adaptation, with the Felder-Silverman model being used by seven of them. The most commonly used approach was the rule-based system approach built by experts within the proposal, which was used in 17.24% of the articles. Clustering, collaborative filtering, fuzzy logic, and K-NN were used in 10.34% of the proposals. The positive aspect of “delivering adaptive content” was pointed out in seven articles. As for negative aspects, the problem of lack of student engagement was mentioned in four articles. This study discusses the application of dynamic and static models based on learning styles (LS) and the challenges involved in their use. Additionally, another aspect pointed out is that it is crucial to carefully consider pedagogical aspects in learning systems and have mixed development teams. The study also discusses student motivation and the use of gamification elements as a strategy to engage students in electronic learning systems. Finally, the results also indicate that the level of student knowledge is typically represented by a student model (SM), and the growing trend is the use of hybrid SMs. The research identified the most studied areas in ALS in CSE, such as computer programming and databases. The most common techniques used in ALS were rule-based systems built by experts, fuzzy logic, and clustering. The most common feature of ALS identified was learning resources, and the majority of studies focused on investigating the impact of system accuracy. This research can help researchers design better adaptive learning systems and understand challenges that need to be addressed. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023."
"A systematic review of gamification in software engineering education","Korniienko S.S.; Zahorodko P.V.; Striuk A.M.; Kupin A.I.; Semerikov S.O.","2024","CEUR Workshop Proceedings","1","Conference paper","EN","Background: Gamification is a promising approach for enhancing motivation and engagement in software engineering education, but its applications and effects are not yet well understood. Objective: To systematically review the use of gamification in software engineering education, focusing on the game elements utilized, the software engineering knowledge areas and skills targeted, and the reported impacts on learning outcomes and student perceptions. Methods: We searched Scopus for papers published in journals, conferences, or workshops that described empirical studies of gamification in software engineering courses. Study characteristics, gamification approaches, software engineering topics, research methods, and key findings were extracted and synthesized using a combination of quantitative and qualitative methods. Results: The 29 included studies most commonly employed points (17 studies), challenges (14 studies), leaderboards (11 studies), and badges (9 studies) to gamify the learning of software process (12 studies), design (9 studies), and professional practices (7 studies). The majority of studies (21) reported positive impacts on student engagement, motivation, and/or performance, but the quality of evidence was limited by the lack of validated measurement instruments and controlled study designs. Conclusions: Gamification appears to be a promising approach for enhancing software engineering education, but more rigorous empirical research is needed to understand its effects and boundary conditions. This review provides educators and researchers with an overview of current applications, evidence, and open questions to guide the design and study of gamified learning experiences in software engineering. © 2024 Copyright for this paper by its authors."
"EduCodeVR: VR for programming teaching through simulated farm and traffic","Jin Z.; Bai Y.; Song W.; Yu Q.; Yue X.","2024","Visual Computer","0","Article","EN","Virtual reality (VR) technology has revolutionized science, technology, engineering, arts, and mathematics (STEAM) education by simulating real-world environments, offering innovative learning methods. This study focuses on designing an educational system within VR for Arduino UNO microcontroller development. Students engage in graphical programming and hardware integration of the Arduino UNO within VR environments, implementing intelligent control of farms and traffic. This approach helps students grasp practical applications of the Arduino UNO in real production contexts, further cultivating their programming skills and fostering innovative thinking. We conducted Arduino courses tailored for programming beginners, assessing the usability of EduCodeVR and its impact on students through learning outcome tests and VR system usability assessments. The results demonstrate that EduCodeVR, which uses STEAM education methodologies, effectively enhances users’ comprehensive literacy and computational thinking, highlighting the significant potential of integrating VR programming courses into STEAM education. Through this innovative teaching approach, students not only acquire knowledge, but also enjoy the pleasures of immersive learning. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024."
"Empowering STEAM Activities With Artificial Intelligence and Open Hardware: The BitDogLab","Fruett F.; Pereira Barbosa F.; Cardoso Zampolli Fraga S.; Ivo Aragao Guimaraes P.","2024","IEEE Transactions on Education","0","Article","EN","Open-source hardware and software platforms have played an important role in democratizing access to technology and education in computer science and engineering. Recent advancements in tools, such as KiCad, MicroPython, and Thonny, integrated development environment potentially accelerate low-budget educational applications, providing a smooth and consistent learning curve for users. The BitDogLab, utilizing these platforms, is designed and developed for Science, Technology, Engineering, Arts, and Mathematics activities based on the Raspberry Pi Pico Board, featuring artificial intelligence (AI)-supported programming via the GPT model. BitDogLab is an open-source hardware solution with a flexible design for continuous expansion in both software and hardware areas. Its functionality, based on open-source code, can be enhanced by integrating various software resources. Additionally, BitDogLab's adaptability to sophisticated hardware like robotic systems or advanced sensors expands its educational applications. An evaluation of BitDogLab, conducted through a hands-on workshop at the Latin America Open Technology Conference - Latinoware 2023, revealed unanimous interest among 36 respondents, mainly for teaching programming (58%), and valuing its low cost, diverse components, and ease of AI-assisted programming. 75% of respondents expressed a strong desire to use BitDogLab, despite 19% preferring familiar boards like Arduino or Micro:bit. The project's open distribution encourages community contributions, promoting collaborative learning and innovation from children to preuniversity students.  © 1963-2012 IEEE."
"Developing the Kid-Bright board for controlling lamps and fans as game-based learning for twelfth-grade students","Lakhonmoon T.; Rutanatarntong Y.; Noisombut T.","2025","Journal of Education and Learning","0","Article","EN","This research aimed to develop and evaluate a gamified learning game using the Kid-Bright board to teach introductory coding skills for controlling lamps and fans to 12th-grade students. The study employed a mixed-methods approach, involving the design and development of the game based on gamification principles, followed by an evaluation by three computer science experts to assess its suitability and effectiveness. The game was then implemented with a sample of 27 randomly selected 12th-grade students from Nong Kungsri Wittayakarn School in Kalasin Province, Thailand. Pre and post-tests were conducted to measure learning outcomes, and a student satisfaction survey was administered to gauge their experience. The findings revealed that the developed game met the 80/80 criterion for efficiency (80.25/84.81), demonstrating its effectiveness in enhancing students' learning progress. The game also received high suitability ratings from experts (X̅ =4.24, S.D=0.43) and garnered substantial satisfaction from the students (X̅ =4.78, S.D=0.42), underscoring its potential as an effective and engaging tool for teaching basic coding skills in a real-world context. © 2025, Intelektual Pustaka Media Utama. All rights reserved."
"A model for integrating microgames in teaching primary education for sustainable development","Saimon M.; Lavicza Z.; Houghton T.; Rahmadi I.","2024","Journal of Research in Innovative Teaching and Learning","1","Article","EN","Purpose: The purpose of this study is to propose a model for integrating microgames in teaching primary Education for Sustainable Development (ESD) and illustrate the application of the proposed model in teaching integrated mathematics, arts, technology and language in primary ESD. Design/methodology/approach: The model was based on conceptual mapping from the reviewed literature and reflection from their teaching experience. Findings: The model and the related teaching-learning activities have been proposed. Originality/value: The proposed model enhances the use of microgames in an interdisciplinary teaching framework. © 2023, Musa Saimon, Zsolt Lavicza, Tony Houghton and Imam Rahmadi."
"Developing an Integrated STEM Classroom Observation Protocol Using the Productive Disciplinary Engagement Framework","Ong Y.S.; Koh J.; Tan A.-L.; Ng Y.S.","2024","Research in Science Education","8","Article","EN","STEM education and research has gained popularity internationally over the last decade. However, there is a lack in specifications in existing K-12 STEM classroom observation protocols of how features of an integrated STEM experience/lesson would lead to desired outcomes and how those outcomes should be measured. To bridge this gap, we propose the development of a new integrated STEM classroom observation protocol (iSTEM protocol). This article describes the ongoing development work of the iSTEM protocol, which features two creative attempts. Firstly, the productive disciplinary engagement framework is adapted to design a classroom observation protocol that provides a coherent frame of design principles to be met to achieve desired 3-dimensional pedagogical outcomes. Secondly, interdisciplinarity of student engagement was interpreted in terms of the extent to which students take a systematic and disciplinary-based approach to make and justify decisions during STEM problem-solving. The iSTEM protocol comprises 15 items (4-point scale) rated holistically for the extents to which evidence was found in the observed lesson for (1) the 3-dimensional pedagogical outcomes of productive interdisciplinary engagement (five items) and (2) problematising, resources, authority, and accountability design principles (10 items). The accompanying iSTEM profile visually represents and communicates the strengths and inadequacies in design principles, thus providing explanations for extents of students’ productive interdisciplinary engagement. The iSTEM protocol will contribute as a research tool for STEM education researchers and as a pedagogical guide for STEM classroom teachers to improve their design of STEM learning experiences. © 2023, The Author(s), under exclusive licence to Springer Nature B.V."
"Measuring Education college students’ skills using Artificial Intelligence: right brain vs left brain with structural equation models; [Mesurament de les habilitats d'estudiants universitaris en Educació utilitzant la Intel·ligència Artificial: cervell dret vs cervell esquerre amb models d'equacions estructurals]; [Medición de las habilidades de estudiantes universitarios en Educación utilizando la Inteligencia Artificial: cerebro derecho vs cerebro izquierdo con modelos de ecuaciones estructurales]","Maulyda M.A.; Sugiman S.; Wuryandani W.; Amaruddin H.; Anar A.P.","2024","Revista de Educacion y Derecho","0","Article","EN","This research uses an explanatory quantitative design with a structural equation modelling (SEM) approach to test whether left or right brain dominance affects the skills of preservice teachers in using artificial intelligence (AI). Participants in this research were 342 students majoring in multidisciplinary education (preservice teachers). The distribution of participant data reflects variations in these aspects, which aims to provide a comprehensive picture of the factors that have the potential to influence students' skills in using AI. This research highlights that students with left-brain dominance show superior abilities in using AI technology compared to students with right-brain dominance. This is shown by the factor loading value on the d60 path which reached 0.98, indicating the high representational power of students with left brain dominance in mastering AI. These findings have a significant impact on approaches to technology education in universities. First, these results can encourage the development of curricula that place more emphasis on analytical and logical skills for all students, as well as introducing creative elements that can attract the interest of students with right-brain dominance. Thus, educational programs can be designed to accommodate both types of brain dominance, ensuring that students receive comprehensive and balanced training. Additionally, these findings highlight the need for universities to create inclusive and supportive learning environments, especially for women who may face gender stereotypes that hinder their participation in STEM fields. © 2024 Universitat de Barcelona. All rights reserved."
"A Systematic Review of Web-Based Learning in Enhancing Visualization Skill","Ahmad A.R.; Ali D.F.; Othman N.F.; Jumaat N.F.; Wahab N.A.; Sundari R.S.","2025","Journal of Advanced Research in Applied Sciences and Engineering Technology","0","Article","EN","In the digital era, visualization skills are critical for academic and professional success. This systematic review examines how web-based learning enhances these skills across various disciplines. This study focuses on addressing the challenges of developing effective visualization capabilities and the role of web-based learning in providing innovative solutions. This research utilized the PRISMA methodology to identify primary data utilizing specific keywords. Through extensive searches on Scopus, Web of Science, and ProQuest, 40 relevant studies were identified. The findings are organized into three themes: (1) Learning Innovations, (2) Digital Visual Education, and (3) Creative Visual Pedagogy. Results highlight web-based learning as a pivotal strategy in applied science and technology education, emphasizing collaborative and interactive technologies in enhancing spatial visualization and contributing to advanced educational practices. © 2025, Semarak Ilmu Publishing. All rights reserved."
"An FPGA Integrated 2D Graphic Processor for Enhanced Digital Design and Computer Architecture Education","Sa Alves G.B.; Carlos Bittencourt J.N.; Dias A.","2024","Revista Iberoamericana de Tecnologias del Aprendizaje","0","Article","EN","In the rapidly evolving domain of technology education, the integration of digital systems and computer architecture into a unified academic curriculum has become increasingly important. This integration reflects the dynamic nature of the technological landscape and aligns with the growing demands and expectations of students pursuing competencies in both disciplines. Within this context, there is an urgent need for innovative and disruptive pedagogical tools that are in line with current educational trends and effectively address the different learning styles of students. Consequently, the adoption of Field Programmable Gate Array (FPGA) co-design approaches, which integrate hardware and software aspects of systems, represents a significant step forward in meeting the contemporary demands of computer architecture education, offering a practical, engaging and scalable solution. This paper introduces CoLenda, a novel learning tool, through the implementation of an educational FPGA platform based on a 2D graphics processor. The aim of CoLenda is to provide a comprehensive understanding of its architecture, enabling students to experience practical, hands-on learning through the development of graphics-based games. The introduction of this processor enhances the learning process by allowing students to engage in digital design and computer architecture curricula while fostering creativity and practical problem-solving skills. Additionally, making the project open-source for community contributions could significantly expand the potential and scope of this educational tool.  © 2024 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission."
